MassSpringSystemSemi first-frame debug snapshot
gravity=(0.00, -9.81, 0.00), dt=0.0010, stiffness=500.000
particles=632, springs=1890
P[37] pos=(-0.63, 8.25, 0.63) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[38] pos=(3.75, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[39] pos=(3.75, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[40] pos=(1.25, 5.75, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[41] pos=(1.25, 8.25, 5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, 0.00, 0.00) force=(0.00, 0.00, 0.00) fixed=True
P[42] pos=(3.75, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[43] pos=(3.75, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[44] pos=(1.25, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[45] pos=(1.25, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[46] pos=(-1.25, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[47] pos=(-1.25, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[48] pos=(-3.75, 8.25, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
P[49] pos=(-3.75, 5.75, -5.00) vel=(0.00, 0.00, 0.00) gravity=(0.00, -9.81, 0.00) force=(0.00, -9.81, 0.00) fixed=False
