sample 87/100: fp16=167.095 ms, bf16=166.769 ms, ratio=0.998
sample 88/100: fp16=166.770 ms, bf16=166.874 ms, ratio=1.001
sample 89/100: fp16=167.046 ms, bf16=166.793 ms, ratio=0.998
sample 90/100: fp16=167.058 ms, bf16=166.419 ms, ratio=0.996
sample 91/100: fp16=166.480 ms, bf16=166.582 ms, ratio=1.001
sample 92/100: fp16=166.911 ms, bf16=166.763 ms, ratio=0.999
sample 93/100: fp16=166.782 ms, bf16=166.768 ms, ratio=1.000
sample 94/100: fp16=166.822 ms, bf16=166.488 ms, ratio=0.998
sample 95/100: fp16=166.858 ms, bf16=166.639 ms, ratio=0.999
sample 96/100: fp16=166.761 ms, bf16=166.579 ms, ratio=0.999
sample 97/100: fp16=166.772 ms, bf16=167.092 ms, ratio=1.002
sample 98/100: fp16=166.691 ms, bf16=167.065 ms, ratio=1.002
sample 99/100: fp16=167.129 ms, bf16=166.468 ms, ratio=0.996
sample 100/100: fp16=166.479 ms, bf16=167.073 ms, ratio=1.004

=== Benchmark Summary ===
count=4194304, iters=30, samples=100, warmup=1
FP16: mean=166.726 ms, median=166.757 ms, min=166.283, max=167.135, stdev=0.227
BF16: mean=166.750 ms, median=166.762 ms, min=166.406, max=167.175, stdev=0.192
Relative speed (FP16 mean / BF16 mean): 1.000x
Saved CSV: /workspace/overfitting-rigidbody-rtx3050-private/bench/results/20260521_065142/bench_samples.csv
Saved Plot: /workspace/overfitting-rigidbody-rtx3050-private/bench/results/20260521_065142/bench_plot.png
