sample,cuda_wall_ms,cuda_elapsed_ms,cuda_output_x,cuda_output_v,cuda_checksum,csharp_wall_ms,csharp_elapsed_ms,csharp_output_x,csharp_output_v,csharp_checksum,wall_speedup_cuda_over_csharp,elapsed_speedup_cuda_over_csharp,abs_diff_output_x,abs_diff_output_v,abs_diff_checksum
1,0.0,0.0,0.0,0.0,0.0,802.2109589946922,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,814.4793749961536,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,814.8726670187898,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,872.0350829826202,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,832.1390409837477,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,821.502499980852,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,820.9267499914858,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,822.4082500091754,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,830.1320840255357,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,811.221750016557,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
